experimento,tempo,consumo_cpu
1,0.5,138.0
1,1.0,129.0
1,1.5,171.0
1,2.0,170.0
1,2.5,148.0
1,3.0,114.0
1,3.5,85.1
1,4.0,144.0
1,4.5,203.0
1,5.0,234.0
1,5.5,133.0
1,6.0,51.8
1,6.5,137.0
1,7.0,211.0
1,7.5,182.0
1,8.0,133.0
1,8.5,71.4
1,9.0,125.0
1,9.5,159.0
1,10.0,341.0
1,10.5,192.0
1,11.0,70.3
1,11.5,160.0
1,12.0,164.0
1,12.5,159.0
1,13.0,139.0
1,13.5,103.0
1,14.0,157.0
1,14.5,125.0
1,15.0,211.0
1,15.5,181.0
1,16.0,132.0
1,16.5,193.0
1,17.0,148.0
1,17.5,129.0
1,18.0,125.0
1,18.5,113.0
1,19.0,175.0
1,19.5,162.0
1,20.0,192.0
1,20.5,140.0
1,21.0,140.0
1,21.5,220.0
1,22.0,178.0
1,22.5,146.0
1,23.0,92.8
1,23.5,81.4
1,24.0,170.0
1,24.5,164.0
1,25.0,200.0
1,25.5,85.1
1,26.0,55.5
1,26.5,192.0
1,27.0,171.0
1,27.5,174.0
1,28.0,133.0
1,28.5,71.4
1,29.0,137.0
1,29.5,174.0
1,30.0,346.0
2,0.5,203.0
2,1.0,100.0
2,1.5,153.0
2,2.0,175.0
2,2.5,150.0
2,3.0,139.0
2,3.5,100.0
2,4.0,144.0
2,4.5,148.0
2,5.0,233.0
2,5.5,217.0
2,6.0,114.0
2,6.5,133.0
2,7.0,144.0
2,7.5,125.0
2,8.0,129.0
2,8.5,110.0
2,9.0,128.0
2,9.5,170.0
2,10.0,189.0
2,10.5,278.0
2,11.0,133.0
2,11.5,151.0
2,12.0,167.0
2,12.5,153.0
2,13.0,59.2
2,13.5,92.5
2,14.0,107.0
2,14.5,182.0
2,15.0,196.0
2,15.5,96.2
2,16.0,55.5
2,16.5,137.0
2,17.0,213.0
2,17.5,189.0
2,18.0,114.0
2,18.5,75.0
2,19.0,125.0
2,19.5,174.0
2,20.0,303.0
2,20.5,175.0
2,21.0,89.2
2,21.5,92.5
2,22.0,225.0
2,22.5,185.0
2,23.0,146.0
2,23.5,110.0
2,24.0,100.0
2,24.5,155.0
2,25.0,196.0
2,25.5,259.0
2,26.0,148.0
2,26.5,122.0
2,27.0,162.0
2,27.5,162.0
2,28.0,162.0
2,28.5,114.0
2,29.0,125.0
2,29.5,153.0
2,30.0,160.0
