experimento,tempo,consumo_cpu
1,0.5,13.7
1,1.0,25.9
1,1.5,103.0
1,2.0,85.7
1,2.5,221.0
1,3.0,144.0
1,3.5,129.0
1,4.0,159.0
1,4.5,92.5
1,5.0,100.0
1,5.5,88.8
1,6.0,89.2
1,6.5,77.7
1,7.0,166.0
1,7.5,240.0
1,8.0,155.0
1,8.5,96.2
1,9.0,174.0
1,9.5,103.0
1,10.0,118.0
1,10.5,100.0
1,11.0,100.0
1,11.5,88.8
1,12.0,232.0
1,12.5,114.0
1,13.0,192.0
1,13.5,167.0
1,14.0,110.0
1,14.5,129.0
1,15.0,107.0
1,15.5,78.5
1,16.0,75.0
1,16.5,85.1
1,17.0,178.0
1,17.5,146.0
1,18.0,118.0
1,18.5,151.0
1,19.0,148.0
1,19.5,140.0
1,20.0,81.4
1,20.5,103.0
1,21.0,85.1
1,21.5,203.0
1,22.0,140.0
1,22.5,103.0
1,23.0,192.0
1,23.5,129.0
1,24.0,146.0
1,24.5,118.0
1,25.0,107.0
1,25.5,135.0
1,26.0,81.4
1,26.5,214.0
1,27.0,133.0
1,27.5,151.0
1,28.0,160.0
1,28.5,114.0
1,29.0,111.0
1,29.5,96.2
1,30.0,88.8
2,0.5,96.2
2,1.0,144.0
2,1.5,181.0
2,2.0,144.0
2,2.5,175.0
2,3.0,110.0
2,3.5,111.0
2,4.0,81.4
2,4.5,103.0
2,5.0,121.0
2,5.5,82.1
2,6.0,225.0
2,6.5,100.0
2,7.0,137.0
2,7.5,170.0
2,8.0,88.8
2,8.5,125.0
2,9.0,114.0
2,9.5,89.2
2,10.0,88.8
2,10.5,77.7
2,11.0,211.0
2,11.5,137.0
2,12.0,144.0
2,12.5,177.0
2,13.0,174.0
2,13.5,128.0
2,14.0,96.2
2,14.5,103.0
2,15.0,103.0
2,15.5,203.0
2,16.0,129.0
2,16.5,132.0
2,17.0,185.0
2,17.5,122.0
2,18.0,114.0
2,18.5,114.0
2,19.0,89.2
2,19.5,100.0
2,20.0,70.3
2,20.5,196.0
2,21.0,159.0
2,21.5,121.0
2,22.0,121.0
2,22.5,107.0
2,23.0,125.0
2,23.5,88.8
2,24.0,74.0
2,24.5,107.0
2,25.0,162.0
2,25.5,148.0
2,26.0,174.0
2,26.5,85.1
2,27.0,203.0
2,27.5,140.0
2,28.0,114.0
2,28.5,107.0
2,29.0,122.0
2,29.5,70.3
2,30.0,192.0
3,0.5,175.0
3,1.0,144.0
3,1.5,185.0
3,2.0,153.0
3,2.5,103.0
3,3.0,78.5
3,3.5,144.0
3,4.0,103.0
3,4.5,185.0
3,5.0,162.0
