experimento,tempo,consumo_cpu
1,0.5,57.1
1,1.0,25.0
1,1.5,35.7
1,2.0,64.2
1,2.5,14.8
1,3.0,144.0
1,3.5,148.0
1,4.0,151.0
1,4.5,170.0
1,5.0,85.1
1,5.5,114.0
1,6.0,162.0
1,6.5,140.0
1,7.0,159.0
1,7.5,77.7
1,8.0,107.0
1,8.5,177.0
1,9.0,142.0
1,9.5,192.0
1,10.0,88.8
1,10.5,122.0
1,11.0,177.0
1,11.5,151.0
1,12.0,118.0
1,12.5,117.0
1,13.0,103.0
1,13.5,170.0
1,14.0,151.0
1,14.5,188.0
1,15.0,92.5
1,15.5,111.0
1,16.0,122.0
1,16.5,174.0
1,17.0,107.0
1,17.5,107.0
1,18.0,114.0
1,18.5,142.0
1,19.0,167.0
1,19.5,151.0
1,20.0,114.0
1,20.5,128.0
1,21.0,159.0
1,21.5,177.0
1,22.0,88.8
1,22.5,77.7
1,23.0,121.0
1,23.5,148.0
1,24.0,237.0
1,24.5,174.0
1,25.0,110.0
1,25.5,133.0
1,26.0,148.0
1,26.5,151.0
1,27.0,125.0
1,27.5,62.9
1,28.0,125.0
1,28.5,118.0
1,29.0,170.0
1,29.5,170.0
1,30.0,74.0
2,0.5,151.0
2,1.0,142.0
2,1.5,114.0
2,2.0,122.0
2,2.5,53.5
2,3.0,100.0
2,3.5,214.0
2,4.0,151.0
2,4.5,196.0
2,5.0,62.9
2,5.5,151.0
2,6.0,189.0
2,6.5,133.0
2,7.0,92.8
2,7.5,103.0
2,8.0,111.0
2,8.5,146.0
2,9.0,114.0
2,9.5,170.0
2,10.0,118.0
2,10.5,100.0
2,11.0,135.0
2,11.5,148.0
2,12.0,77.7
2,12.5,122.0
2,13.0,129.0
2,13.5,166.0
2,14.0,200.0
2,14.5,70.3
2,15.0,140.0
2,15.5,155.0
2,16.0,137.0
2,16.5,121.0
2,17.0,60.7
2,17.5,122.0
2,18.0,174.0
2,18.5,153.0
2,19.0,251.0
2,19.5,66.6
2,20.0,144.0
2,20.5,175.0
2,21.0,150.0
2,21.5,122.0
2,22.0,103.0
2,22.5,129.0
2,23.0,196.0
2,23.5,189.0
2,24.0,214.0
2,24.5,100.0
2,25.0,140.0
2,25.5,170.0
2,26.0,160.0
2,26.5,122.0
2,27.0,100.0
2,27.5,140.0
2,28.0,159.0
2,28.5,221.0
2,29.0,174.0
2,29.5,96.2
2,30.0,170.0
3,0.5,135.0
3,1.0,188.0
3,1.5,114.0
3,2.0,118.0
3,2.5,148.0
3,3.0,151.0
3,3.5,229.0
3,4.0,192.0
3,4.5,121.0
3,5.0,148.0
3,5.5,132.0
3,6.0,128.0
3,6.5,148.0
3,7.0,66.6
3,7.5,122.0
3,8.0,146.0
3,8.5,159.0
3,9.0,159.0
3,9.5,77.7
3,10.0,177.0
3,10.5,177.0
3,11.0,148.0
3,11.5,135.0
3,12.0,64.2
3,12.5,140.0
3,13.0,192.0
3,13.5,137.0
3,14.0,140.0
3,14.5,107.0
3,15.0,225.0
3,15.5,210.0
3,16.0,144.0
3,16.5,111.0
3,17.0,92.8
3,17.5,129.0
3,18.0,200.0
3,18.5,132.0
3,19.0,185.0
3,19.5,110.0
3,20.0,137.0
3,20.5,192.0
3,21.0,125.0
3,21.5,100.0
3,22.0,107.0
3,22.5,125.0
3,23.0,128.0
3,23.5,166.0
3,24.0,96.4
3,24.5,100.0
3,25.0,159.0
3,25.5,150.0
3,26.0,170.0
3,26.5,75.0
3,27.0,114.0
3,27.5,200.0
3,28.0,139.0
3,28.5,200.0
3,29.0,85.1
3,29.5,150.0
3,30.0,181.0
4,0.5,148.0
4,1.0,111.0
4,1.5,103.0
4,2.0,92.5
4,2.5,177.0
4,3.0,175.0
4,3.5,225.0
4,4.0,89.2
4,4.5,148.0
4,5.0,170.0
4,5.5,153.0
4,6.0,92.5
4,6.5,89.2
4,7.0,135.0
4,7.5,137.0
4,8.0,221.0
4,8.5,142.0
4,9.0,85.1
4,9.5,164.0
4,10.0,188.0
4,10.5,196.0
4,11.0,103.0
4,11.5,81.4
4,12.0,196.0
4,12.5,96.2
4,13.0,196.0
4,13.5,118.0
4,14.0,114.0
4,14.5,166.0
4,15.0,155.0
4,15.5,133.0
4,16.0,121.0
4,16.5,77.7
4,17.0,170.0
4,17.5,148.0
4,18.0,181.0
4,18.5,118.0
4,19.0,89.2
4,19.5,159.0
4,20.0,159.0
4,20.5,129.0
4,21.0,110.0
4,21.5,85.7
4,22.0,148.0
4,22.5,177.0
4,23.0,140.0
4,23.5,133.0
4,24.0,117.0
4,24.5,141.0
4,25.0,207.0
4,25.5,110.0
4,26.0,111.0
4,26.5,96.4
4,27.0,137.0
4,27.5,207.0
4,28.0,139.0
4,28.5,162.0
4,29.0,92.5
4,29.5,125.0
4,30.0,181.0
5,0.5,144.0
5,1.0,92.5
5,1.5,118.0
5,2.0,132.0
5,2.5,144.0
5,3.0,160.0
5,3.5,89.2
5,4.0,88.8
5,4.5,151.0
5,5.0,157.0
5,5.5,166.0
5,6.0,82.1
5,6.5,107.0
5,7.0,188.0
5,7.5,133.0
5,8.0,185.0
5,8.5,81.4
5,9.0,107.0
5,9.5,160.0
5,10.0,140.0
5,10.5,125.0
5,11.0,100.0
5,11.5,107.0
5,12.0,185.0
5,12.5,139.0
5,13.0,222.0
5,13.5,100.0
5,14.0,114.0
5,14.5,170.0
5,15.0,139.0
5,15.5,114.0
5,16.0,121.0
5,16.5,132.0
5,17.0,140.0
5,17.5,210.0
5,18.0,181.0
5,18.5,100.0
5,19.0,139.0
5,19.5,128.0
5,20.0,174.0
5,20.5,103.0
5,21.0,77.7
5,21.5,160.0
5,22.0,133.0
5,22.5,207.0
5,23.0,137.0
5,23.5,96.4
5,24.0,182.0
5,24.5,157.0
5,25.0,137.0
5,25.5,128.0
5,26.0,74.0
5,26.5,185.0
5,27.0,142.0
5,27.5,192.0
5,28.0,137.0
5,28.5,122.0
5,29.0,153.0
5,29.5,128.0
5,30.0,125.0
6,0.5,110.0
6,1.0,85.7
6,1.5,160.0
6,2.0,162.0
6,2.5,167.0
6,3.0,111.0
6,3.5,114.0
6,4.0,159.0
6,4.5,196.0
6,5.0,133.0
6,5.5,100.0
6,6.0,137.0
6,6.5,151.0
6,7.0,177.0
6,7.5,164.0
6,8.0,125.0
6,8.5,131.0
6,9.0,140.0
6,9.5,188.0
6,10.0,132.0
6,10.5,85.1
6,11.0,129.0
6,11.5,144.0
6,12.0,148.0
6,12.5,177.0
6,13.0,77.7
6,13.5,118.0
6,14.0,137.0
6,14.5,160.0
6,15.0,146.0
6,15.5,77.7
6,16.0,107.0
6,16.5,155.0
6,17.0,151.0
6,17.5,203.0
6,18.0,75.0
6,18.5,117.0
6,19.0,185.0
6,19.5,107.0
6,20.0,151.0
6,20.5,92.5
6,21.0,96.2
6,21.5,189.0
6,22.0,114.0
6,22.5,260.0
6,23.0,96.2
6,23.5,133.0
6,24.0,185.0
6,24.5,148.0
6,25.0,111.0
6,25.5,100.0
6,26.0,129.0
6,26.5,144.0
6,27.0,175.0
6,27.5,128.0
6,28.0,103.0
6,28.5,142.0
6,29.0,157.0
6,29.5,178.0
6,30.0,107.0
7,0.5,85.1
7,1.0,146.0
7,1.5,129.0
7,2.0,222.0
7,2.5,111.0
7,3.0,100.0
7,3.5,189.0
7,4.0,148.0
7,4.5,162.0
7,5.0,107.0
7,5.5,77.7
7,6.0,175.0
7,6.5,141.0
7,7.0,200.0
7,7.5,125.0
7,8.0,92.5
7,8.5,196.0
7,9.0,146.0
7,9.5,144.0
7,10.0,117.0
7,10.5,71.4
7,11.0,148.0
7,11.5,157.0
