experimento,tempo,consumo_memoria
1,0.5,276.91
1,1.0,274.47
1,1.5,282.09
1,2.0,373.34
1,2.5,526.06
1,3.0,623.22
1,3.5,714.0
1,4.0,696.13
1,4.5,562.78
1,5.0,398.78
1,5.5,387.15
1,6.0,481.81
1,6.5,386.93
1,7.0,386.9
1,7.5,517.89
1,8.0,602.34
1,8.5,696.86
1,9.0,635.04
1,9.5,445.03
1,10.0,397.75
1,10.5,385.62
1,11.0,470.41
1,11.5,376.34
1,12.0,480.09
1,12.5,562.49
1,13.0,666.4
1,13.5,615.66
1,14.0,508.85
1,14.5,401.19
1,15.0,400.71
1,15.5,473.01
1,16.0,378.87
1,16.5,379.71
1,17.0,545.96
1,17.5,601.43
1,18.0,697.25
1,18.5,570.95
1,19.0,446.49
1,19.5,399.16
1,20.0,388.8
1,20.5,483.4
1,21.0,387.83
1,21.5,485.0
1,22.0,610.13
1,22.5,683.4
1,23.0,643.81
1,23.5,496.02
1,24.0,394.97
1,24.5,397.01
1,25.0,491.65
1,25.5,396.56
1,26.0,396.19
1,26.5,494.18
1,27.0,598.0
1,27.5,694.14
1,28.0,574.72
1,28.5,403.97
1,29.0,403.06
1,29.5,476.58
1,30.0,477.63
2,0.5,386.92
2,1.0,580.46
2,1.5,599.31
2,2.0,694.39
2,2.5,568.66
2,3.0,443.26
2,3.5,394.51
2,4.0,396.86
2,4.5,585.78
2,5.0,395.2
2,5.5,547.62
2,6.0,608.27
2,6.5,694.06
2,7.0,650.38
2,7.5,525.39
2,8.0,395.34
2,8.5,395.09
2,9.0,489.98
2,9.5,394.93
2,10.0,437.22
2,10.5,574.47
2,11.0,694.78
2,11.5,694.98
2,12.0,568.97
2,12.5,393.55
2,13.0,391.72
2,13.5,492.59
2,14.0,587.92
2,14.5,399.03
2,15.0,494.36
2,15.5,624.46
2,16.0,694.75
2,16.5,650.72
2,17.0,444.12
2,17.5,406.69
2,18.0,447.0
2,18.5,585.06
2,19.0,397.36
2,19.5,461.61
2,20.0,591.89
2,20.5,694.71
2,21.0,720.88
2,21.5,520.13
2,22.0,402.45
2,22.5,396.33
2,23.0,468.15
2,23.5,372.54
2,24.0,393.03
2,24.5,542.84
2,25.0,598.89
2,25.5,694.54
2,26.0,587.62
2,26.5,444.07
2,27.0,393.99
2,27.5,385.5
2,28.0,480.08
2,28.5,384.37
2,29.0,510.69
2,29.5,609.15
2,30.0,695.35
3,0.5,619.95
3,1.0,505.66
3,1.5,389.01
3,2.0,385.86
3,2.5,624.33
3,3.0,385.36
3,3.5,462.64
3,4.0,592.56
3,4.5,695.73
3,5.0,721.95
3,5.5,570.28
3,6.0,392.43
3,6.5,390.21
3,7.0,467.72
3,7.5,374.11
3,8.0,402.66
3,8.5,543.21
3,9.0,598.87
3,9.5,694.93
3,10.0,607.62
3,10.5,465.69
3,11.0,393.89
3,11.5,397.25
3,12.0,481.24
3,12.5,385.71
3,13.0,509.96
3,13.5,609.49
3,14.0,695.62
3,14.5,721.84
3,15.0,569.54
3,15.5,392.51
3,16.0,390.4
3,16.5,468.06
3,17.0,374.06
3,17.5,405.76
3,18.0,574.48
3,18.5,599.63
3,19.0,695.48
3,19.5,588.4
3,20.0,445.36
3,20.5,387.02
3,21.0,396.56
3,21.5,634.81
3,22.0,397.36
3,22.5,461.52
3,23.0,559.22
3,23.5,592.61
3,24.0,681.42
3,24.5,600.75
3,25.0,393.86
3,25.5,388.13
3,26.0,397.98
3,26.5,492.95
3,27.0,398.11
3,27.5,460.37
3,28.0,586.1
3,28.5,726.48
3,29.0,694.07
3,29.5,537.17
3,30.0,404.76
4,0.5,383.88
4,1.0,563.54
4,1.5,374.02
4,2.0,483.82
4,2.5,559.44
4,3.0,601.74
4,3.5,682.3
4,4.0,602.79
4,4.5,443.07
4,5.0,390.3
4,5.5,375.64
4,6.0,469.13
4,6.5,374.37
4,7.0,527.19
4,7.5,628.05
4,8.0,695.38
4,8.5,667.73
4,9.0,547.72
4,9.5,401.13
4,10.0,387.43
4,10.5,482.15
4,11.0,386.98
4,11.5,420.96
4,12.0,544.39
4,12.5,696.08
4,13.0,695.77
4,13.5,569.68
4,14.0,392.63
4,14.5,390.13
4,15.0,491.33
4,15.5,493.39
4,16.0,397.69
4,16.5,479.71
4,17.0,580.15
4,17.5,695.73
4,18.0,625.75
4,18.5,588.53
4,19.0,394.42
4,19.5,378.84
4,20.0,481.22
4,20.5,385.84
4,21.0,391.0
4,21.5,546.08
4,22.0,601.46
4,22.5,696.24
4,23.0,603.06
4,23.5,508.15
4,24.0,389.2
4,24.5,398.99
4,25.0,658.83
4,25.5,375.56
4,26.0,389.82
4,26.5,554.55
4,27.0,600.69
4,27.5,696.91
4,28.0,608.29
4,28.5,393.49
4,29.0,396.4
4,29.5,399.67
4,30.0,470.17
5,0.5,394.18
5,1.0,513.8
5,1.5,600.89
5,2.0,696.7
5,2.5,669.03
5,3.0,445.78
5,3.5,388.74
5,4.0,386.27
5,4.5,615.35
5,5.0,376.96
5,5.5,390.57
5,6.0,530.63
5,6.5,584.72
5,7.0,699.67
5,7.5,545.45
5,8.0,396.5
5,8.5,394.42
5,9.0,374.46
5,9.5,470.63
5,10.0,374.71
5,10.5,529.39
5,11.0,601.3
5,11.5,697.26
5,12.0,630.85
5,12.5,507.97
5,13.0,390.8
5,13.5,384.72
5,14.0,573.07
5,14.5,384.99
5,15.0,429.42
5,15.5,585.59
5,16.0,697.28
5,16.5,696.04
5,17.0,571.94
5,17.5,404.21
5,18.0,390.99
5,18.5,398.08
5,19.0,493.22
5,19.5,398.49
5,20.0,481.1
5,20.5,513.25
5,21.0,602.1
5,21.5,819.46
5,22.0,616.96
5,22.5,394.35
5,23.0,378.81
5,23.5,386.96
5,24.0,386.38
5,24.5,460.08
5,25.0,607.27
5,25.5,697.79
5,26.0,696.66
5,26.5,632.65
5,27.0,395.2
5,27.5,390.93
5,28.0,493.06
5,28.5,494.13
5,29.0,399.5
5,29.5,497.16
5,30.0,649.33
6,0.5,698.04
6,1.0,635.95
6,1.5,445.67
6,2.0,390.42
6,2.5,384.93
6,3.0,471.63
6,3.5,375.96
6,4.0,509.57
6,4.5,613.14
6,5.0,697.04
6,5.5,629.4
6,6.0,543.99
6,6.5,390.22
6,7.0,399.09
6,7.5,492.07
6,8.0,398.27
6,8.5,417.3
6,9.0,513.49
6,9.5,571.57
6,10.0,664.56
6,10.5,603.88
6,11.0,444.83
6,11.5,397.46
6,12.0,385.26
6,12.5,470.29
6,13.0,374.68
6,13.5,550.74
6,14.0,650.54
6,14.5,696.49
6,15.0,741.25
6,15.5,517.01
6,16.0,374.85
6,16.5,385.13
6,17.0,669.34
6,17.5,384.4
6,18.0,464.65
6,18.5,616.46
6,19.0,697.97
6,19.5,724.47
6,20.0,509.53
6,20.5,395.3
6,21.0,392.86
6,21.5,470.55
6,22.0,471.46
6,22.5,375.2
6,23.0,518.34
6,23.5,629.58
6,24.0,746.2
6,24.5,635.57
6,25.0,394.78
6,25.5,397.32
6,26.0,398.45
6,26.5,544.09
6,27.0,398.63
6,27.5,501.36
6,28.0,625.79
6,28.5,729.57
6,29.0,625.0
6,29.5,560.13
6,30.0,389.95
7,0.5,394.41
7,1.0,585.46
7,1.5,395.02
7,2.0,480.74
7,2.5,613.19
7,3.0,696.98
7,3.5,629.25
7,4.0,570.98
7,4.5,395.27
7,5.0,391.87
7,5.5,470.74
7,6.0,375.52
7,6.5,390.95
7,7.0,584.05
7,7.5,602.96
7,8.0,698.74
7,8.5,646.13
7,9.0,395.54
7,9.5,391.93
7,10.0,494.0
7,10.5,496.07
7,11.0,400.37
7,11.5,518.74
7,12.0,643.75
7,12.5,697.79
7,13.0,648.65
7,13.5,446.94
7,14.0,399.52
7,14.5,400.45
7,15.0,495.33
7,15.5,377.16
7,16.0,422.24
7,16.5,606.18
7,17.0,602.13
7,17.5,698.11
7,18.0,578.95
7,18.5,402.05
7,19.0,409.01
7,19.5,400.52
7,20.0,566.11
7,20.5,375.71
7,21.0,551.82
7,21.5,645.73
7,22.0,729.95
7,22.5,654.42
7,23.0,532.36
7,23.5,389.43
7,24.0,389.36
7,24.5,531.79
7,25.0,388.32
7,25.5,453.66
7,26.0,619.45
7,26.5,697.86
7,27.0,698.34
7,27.5,572.21
7,28.0,392.15
7,28.5,400.39
7,29.0,494.36
7,29.5,399.3
7,30.0,400.13
8,0.5,545.87
8,1.0,603.97
8,1.5,698.58
8,2.0,604.15
8,2.5,403.38
8,3.0,400.63
8,3.5,494.04
8,4.0,590.59
8,4.5,399.98
8,5.0,531.37
8,5.5,630.61
8,6.0,698.0
8,6.5,670.38
8,7.0,446.55
8,7.5,390.89
8,8.0,386.23
8,8.5,661.54
8,9.0,376.54
8,9.5,414.79
8,10.0,564.11
8,10.5,605.05
8,11.0,691.36
8,11.5,563.51
8,12.0,392.01
8,12.5,394.79
8,13.0,474.32
8,13.5,476.25
8,14.0,380.13
8,14.5,528.91
8,15.0,631.93
8,15.5,698.85
8,16.0,670.11
8,16.5,447.66
8,17.0,401.32
8,17.5,403.23
8,18.0,641.32
8,18.5,402.88
8,19.0,464.03
8,19.5,597.0
8,20.0,698.27
8,20.5,698.57
8,21.0,591.21
8,21.5,392.26
8,22.0,400.62
8,22.5,494.73
8,23.0,399.65
8,23.5,419.39
8,24.0,528.46
8,24.5,604.78
8,25.0,698.33
8,25.5,670.87
8,26.0,509.45
8,26.5,392.45
8,27.0,378.32
8,27.5,377.2
8,28.0,376.23
8,28.5,486.94
8,29.0,596.49
8,29.5,603.6
8,30.0,812.34
9,0.5,533.83
9,1.0,396.4
9,1.5,386.36
9,2.0,471.92
9,2.5,376.73
9,3.0,415.83
9,3.5,576.52
9,4.0,635.48
9,4.5,729.7
9,5.0,687.16
9,5.5,395.35
9,6.0,397.28
9,6.5,400.95
9,7.0,591.21
9,7.5,401.14
9,8.0,387.59
9,8.5,585.31
9,9.0,605.28
9,9.5,703.26
9,10.0,541.16
9,10.5,391.64
9,11.0,399.91
9,11.5,494.67
9,12.0,496.85
9,12.5,401.08
9,13.0,529.14
9,13.5,630.13
9,14.0,698.71
9,14.5,671.12
9,15.0,510.85
9,15.5,391.53
9,16.0,401.38
9,16.5,590.52
9,17.0,402.04
9,17.5,423.95
9,18.0,587.71
9,18.5,603.33
9,19.0,699.41
9,19.5,579.86
9,20.0,403.1
9,20.5,408.01
9,21.0,495.55
9,21.5,590.3
9,22.0,400.11
9,22.5,499.11
9,23.0,653.39
9,23.5,698.83
9,24.0,631.19
9,24.5,470.23
9,25.0,398.05
9,25.5,401.19
9,26.0,494.9
9,26.5,401.14
9,27.0,401.08
9,27.5,529.29
9,28.0,631.27
9,28.5,699.06
9,29.0,590.46
9,29.5,381.91
9,30.0,379.83
10,0.5,481.97
10,1.0,387.78
10,1.5,419.58
10,2.0,547.34
10,2.5,604.26
10,3.0,700.26
10,3.5,675.34
10,4.0,396.8
10,4.5,400.11
10,5.0,406.73
10,5.5,474.02
10,6.0,378.33
10,6.5,520.53
10,7.0,615.62
10,7.5,699.52
10,8.0,658.26
10,8.5,546.62
10,9.0,394.66
10,9.5,402.07
10,10.0,473.1
10,10.5,378.0
10,11.0,393.34
10,11.5,564.29
10,12.0,605.42
10,12.5,699.69
10,13.0,639.12
10,13.5,397.35
10,14.0,395.31
10,14.5,496.0
10,15.0,497.57
10,15.5,401.5
10,16.0,465.48
10,16.5,615.6
10,17.0,699.5
10,17.5,719.06
10,18.0,511.58
10,18.5,392.26
10,19.0,402.13
10,19.5,497.05
10,20.0,401.97
10,20.5,420.09
10,21.0,517.72
10,21.5,604.14
10,22.0,700.19
10,22.5,656.45
10,23.0,449.75
10,23.5,401.29
10,24.0,496.5
10,24.5,591.34
10,25.0,403.16
10,25.5,457.12
10,26.0,565.69
10,26.5,699.94
10,27.0,710.12
10,27.5,508.87
10,28.0,392.01
10,28.5,402.35
10,29.0,495.72
10,29.5,497.88
10,30.0,401.44
11,0.5,500.13
11,1.0,614.67
11,1.5,604.45
11,2.0,638.75
11,2.5,397.82
11,3.0,395.15
11,3.5,497.27
11,4.0,687.94
11,4.5,403.58
11,5.0,466.78
11,5.5,614.78
11,6.0,699.88
11,6.5,737.11
11,7.0,574.22
11,7.5,399.01
11,8.0,386.16
11,8.5,488.63
11,9.0,393.22
11,9.5,412.59
11,10.0,550.31
11,10.5,604.92
11,11.0,700.45
11,11.5,632.49
11,12.0,448.75
11,12.5,393.22
11,13.0,402.38
11,13.5,687.39
11,14.0,402.65
11,14.5,466.08
11,15.0,597.6
11,15.5,605.17
11,16.0,701.63
11,16.5,527.2
11,17.0,406.18
11,17.5,417.04
11,18.0,497.47
11,18.5,497.99
11,19.0,403.35
11,19.5,521.72
11,20.0,634.26
11,20.5,700.63
11,21.0,673.19
11,21.5,511.82
11,22.0,394.2
11,22.5,391.24
11,23.0,580.66
11,23.5,391.16
11,24.0,463.8
11,24.5,599.33
11,25.0,606.67
11,25.5,796.13
11,26.0,521.97
11,26.5,399.25
11,27.0,396.75
11,27.5,473.88
11,28.0,380.49
11,28.5,379.63
11,29.0,501.83
11,29.5,632.03
11,30.0,701.24
12,0.5,609.3
12,1.0,405.53
12,1.5,402.68
12,2.0,395.82
12,2.5,380.25
12,3.0,380.04
12,3.5,488.56
12,4.0,652.01
12,4.5,732.82
12,5.0,683.77
12,5.5,459.35
12,6.0,404.77
12,6.5,405.8
12,7.0,473.75
12,7.5,378.48
12,8.0,437.64
12,8.5,581.62
12,9.0,701.42
12,9.5,700.44
12,10.0,576.28
12,10.5,395.67
12,11.0,406.1
12,11.5,499.78
12,12.0,404.99
12,12.5,405.84
12,13.0,487.08
12,13.5,648.22
12,14.0,732.14
12,14.5,704.77
12,15.0,511.66
12,15.5,394.93
12,16.0,389.8
12,16.5,579.14
12,17.0,389.75
12,17.5,466.97
12,18.0,599.12
12,18.5,701.95
12,19.0,719.64
12,19.5,514.32
12,20.0,393.45
12,20.5,404.37
12,21.0,497.51
12,21.5,404.08
12,22.0,422.17
12,22.5,533.03
12,23.0,633.57
12,23.5,701.26
12,24.0,673.43
12,24.5,501.12
12,25.0,416.84
12,25.5,403.44
12,26.0,547.78
12,26.5,402.8
12,27.0,451.99
12,27.5,611.23
12,28.0,701.69
12,28.5,702.0
12,29.0,575.99
12,29.5,398.99
12,30.0,402.24
13,0.5,474.91
13,1.0,379.4
13,1.5,394.69
