experimento,tempo,consumo_memoria
1,0.5,428.89
1,1.0,437.04
1,1.5,408.29
1,2.0,413.48
1,2.5,413.51
1,3.0,445.08
1,3.5,443.48
1,4.0,432.29
1,4.5,431.51
1,5.0,414.67
1,5.5,448.52
1,6.0,408.96
1,6.5,413.16
1,7.0,412.73
1,7.5,412.62
1,8.0,423.6
1,8.5,412.7
1,9.0,431.35
1,9.5,430.65
1,10.0,416.83
1,10.5,428.46
1,11.0,417.11
1,11.5,412.95
1,12.0,412.63
1,12.5,419.51
1,13.0,446.42
1,13.5,440.08
1,14.0,430.88
1,14.5,430.42
1,15.0,444.9
1,15.5,435.28
1,16.0,407.66
1,16.5,412.43
1,17.0,412.24
1,17.5,410.97
1,18.0,423.77
1,18.5,436.94
1,19.0,430.33
1,19.5,432.88
1,20.0,456.65
1,20.5,416.14
1,21.0,414.75
1,21.5,411.9
1,22.0,411.97
1,22.5,443.64
1,23.0,430.19
1,23.5,437.69
1,24.0,430.35
1,24.5,413.5
1,25.0,440.72
1,25.5,416.31
1,26.0,414.93
1,26.5,412.19
1,27.0,412.24
1,27.5,443.93
1,28.0,430.06
1,28.5,431.1
1,29.0,430.31
1,29.5,413.46
1,30.0,445.53
2,0.5,416.1
2,1.0,412.2
2,1.5,411.89
2,2.0,420.13
2,2.5,454.44
2,3.0,443.46
2,3.5,430.17
2,4.0,429.72
2,4.5,430.57
2,5.0,425.59
2,5.5,399.76
2,6.0,404.39
2,6.5,404.19
2,7.0,402.91
2,7.5,448.21
2,8.0,435.33
2,8.5,422.6
2,9.0,405.76
2,9.5,433.25
2,10.0,399.12
2,10.5,404.84
2,11.0,404.44
2,11.5,404.55
2,12.0,436.14
2,12.5,422.69
2,13.0,423.63
2,13.5,422.8
2,14.0,406.0
2,14.5,433.14
2,15.0,408.72
2,15.5,405.11
2,16.0,404.61
2,16.5,416.79
2,17.0,415.46
2,17.5,404.85
2,18.0,423.8
2,18.5,423.17
2,19.0,409.37
2,19.5,420.88
2,20.0,409.98
2,20.5,405.19
2,21.0,404.89
2,21.5,401.22
2,22.0,415.75
2,22.5,404.62
2,23.0,423.48
2,23.5,422.83
2,24.0,435.29
2,24.5,426.44
2,25.0,402.05
2,25.5,404.86
2,26.0,404.65
2,26.5,415.42
2,27.0,422.31
2,27.5,419.81
2,28.0,423.23
2,28.5,422.94
2,29.0,424.24
2,29.5,427.61
2,30.0,405.85
3,0.5,404.85
3,1.0,413.21
3,1.5,415.56
3,2.0,445.02
3,2.5,423.7
3,3.0,422.99
3,3.5,409.21
3,4.0,420.76
3,4.5,406.79
3,5.0,408.25
3,5.5,407.8
3,6.0,418.78
3,6.5,441.23
3,7.0,404.75
3,7.5,423.59
3,8.0,422.87
3,8.5,409.07
3,9.0,420.71
3,9.5,406.4
3,10.0,408.13
3,10.5,407.76
3,11.0,417.56
3,11.5,450.96
3,12.0,404.25
3,12.5,423.05
3,13.0,422.59
3,13.5,424.1
3,14.0,423.95
3,14.5,405.44
3,15.0,404.83
3,15.5,404.53
3,16.0,401.25
3,16.5,427.13
3,17.0,413.51
3,17.5,423.31
3,18.0,422.82
3,18.5,420.63
3,19.0,427.96
3,19.5,401.37
3,20.0,405.14
3,20.5,404.91
3,21.0,406.0
3,21.5,448.08
3,22.0,426.08
3,22.5,423.7
3,23.0,423.28
3,23.5,445.0
3,24.0,434.33
3,24.5,400.68
3,25.0,405.39
3,25.5,405.17
3,26.0,403.89
3,26.5,416.79
3,27.0,426.41
3,27.5,423.95
3,28.0,423.43
3,28.5,424.71
3,29.0,428.5
3,29.5,400.66
3,30.0,405.43
4,0.5,405.31
4,1.0,436.92
4,1.5,412.92
4,2.0,414.39
4,2.5,413.01
4,3.0,403.73
4,3.5,429.66
4,4.0,399.04
4,4.5,397.64
4,5.0,394.91
4,5.5,394.95
4,6.0,426.54
4,6.5,413.18
4,7.0,414.23
4,7.5,413.17
4,8.0,408.73
4,8.5,443.58
4,9.0,399.87
4,9.5,395.29
4,10.0,394.88
4,10.5,394.99
4,11.0,428.14
4,11.5,440.15
4,12.0,413.89
4,12.5,413.14
4,13.0,399.37
4,13.5,411.1
4,14.0,400.2
4,14.5,395.58
4,15.0,395.22
4,15.5,391.5
4,16.0,406.38
4,16.5,403.94
4,17.0,414.06
4,17.5,413.52
4,18.0,399.73
4,18.5,411.24
4,19.0,400.09
4,19.5,395.48
4,20.0,395.19
4,20.5,391.53
4,21.0,405.92
4,21.5,395.17
4,22.0,414.0
4,22.5,413.47
4,23.0,420.39
4,23.5,418.37
4,24.0,389.38
4,24.5,395.27
4,25.0,395.04
4,25.5,393.74
4,26.0,439.87
4,26.5,410.33
4,27.0,413.74
4,27.5,413.42
4,28.0,414.7
4,28.5,418.38
4,29.0,390.74
4,29.5,395.41
4,30.0,395.31
5,0.5,430.95
5,1.0,431.67
5,1.5,414.42
5,2.0,413.74
5,2.5,399.93
5,3.0,411.44
5,3.5,400.0
5,4.0,395.62
5,4.5,395.34
