Experimento,tamanho_json,tempo_resposta
1,1,32.24
2,1,23.62
3,1,23.53
4,1,32.15
5,1,23.45
6,1,22.0
7,1,36.35
8,1,29.72
9,1,28.69
10,1,54.72
11,1,47.79
12,1,45.68
13,1,40.68
14,1,46.27
15,1,40.81
16,1,55.0
17,1,48.45
18,1,46.96
19,1,49.2
20,1,54.8
21,1,39.67
22,1,45.9
23,1,55.85
24,1,53.36
25,1,47.24
26,1,56.0
27,1,24.67
28,1,32.08
29,1,38.95
30,1,46.95
31,10,47.75
32,10,38.63
33,10,32.32
34,10,40.31
35,10,23.0
36,10,39.57
37,10,40.35
38,10,40.08
39,10,55.7
40,10,40.08
41,10,45.03
42,10,32.7
43,10,47.36
44,10,39.15
45,10,48.45
46,10,37.63
47,10,41.16
48,10,39.39
49,10,47.51
50,10,39.74
51,10,30.43
52,10,38.92
53,10,39.37
54,10,39.43
55,10,39.4
56,10,58.5
57,10,47.51
58,10,53.72
59,10,39.04
60,10,38.28
61,100,79.53
62,100,46.65
63,100,39.01
64,100,25.0
65,100,53.81
66,100,46.63
67,100,56.98
68,100,39.49
69,100,36.89
70,100,25.0
71,100,52.95
72,100,47.34
73,100,43.97
74,100,39.85
75,100,46.15
76,100,46.87
77,100,55.15
78,100,46.62
79,100,44.93
80,100,46.76
81,100,37.32
82,100,28.03
83,100,40.05
84,100,26.11
85,100,46.79
86,100,63.17
87,100,45.36
88,100,53.24
89,100,56.17
90,100,39.59
