experimento,tipo_inicializacao,tempo
1,cold,359
1,warm,169
1,hot,56
2,cold,273
2,warm,162
2,hot,56
3,cold,289
3,warm,160
3,hot,78
4,cold,327
4,warm,159
4,hot,55
5,cold,328
5,warm,170
5,hot,54
6,cold,313
6,warm,140
6,hot,54
7,cold,286
7,warm,156
7,hot,59
8,cold,382
8,warm,154
8,hot,55
9,cold,336
9,warm,162
9,hot,57
10,cold,332
10,warm,174
10,hot,54
11,cold,344
11,warm,152
11,hot,56
12,cold,346
12,warm,152
12,hot,56
13,cold,343
13,warm,154
13,hot,56
14,cold,348
14,warm,153
14,hot,57
15,cold,350
15,warm,156
15,hot,55
16,cold,350
16,warm,161
16,hot,51
17,cold,349
17,warm,159
17,hot,63
18,cold,334
18,warm,156
18,hot,57
19,cold,358
19,warm,159
19,hot,62
20,cold,340
20,warm,152
20,hot,54
21,cold,361
21,warm,161
21,hot,53
22,cold,343
22,warm,168
22,hot,52
23,cold,345
23,warm,155
23,hot,52
24,cold,344
24,warm,158
24,hot,65
25,cold,341
25,warm,176
25,hot,67
26,cold,364
26,warm,161
26,hot,52
27,cold,338
27,warm,165
27,hot,52
28,cold,349
28,warm,162
28,hot,62
29,cold,438
29,warm,159
29,hot,53
30,cold,367
30,warm,156
30,hot,54
